"category","total_orders","total_revenue","avg_price","avg_review_score"
"health_beauty","8601","1224678.58","130.26","4.19"
"watches_gifts","5454","1159219.92","199.35","4.07"
"bed_bath_table","9177","1013590.72","93.58","3.92"
"sports_leisure","7486","948960.45","113.27","4.17"
"computers_accessories","6499","884760.96","116.29","3.99"
"furniture_decor","6260","705997.44","87.38","3.96"
"housewares","5709","611635.68","90.53","4.11"
"cool_stuff","3531","603221.05","163.52","4.20"
"auto","3792","571453.35","139.41","4.12"
"garden_tools","3428","467301.19","110.21","4.08"
"toys","3774","466649.15","116.69","4.21"
"baby","2787","397301.11","134.27","4.08"
"perfumery","3076","388627.77","116.74","4.22"
"telephony","4069","307797.66","69.89","3.99"
"office_furniture","1244","265269.64","160.38","3.51"
