"customer_state","total_orders","total_revenue","avg_order_value","avg_score"
"sp","40273","5737613.98","124.28","4.18"
"rj","12211","2026311.35","145.05","3.87"
"mg","11285","1804135.49","140.66","4.12"
"rs","5327","858519.23","140.40","4.09"
"pr","4900","779359.39","138.58","4.15"
"ba","3229","586952.57","160.85","3.86"
"sc","3519","586431.38","144.33","4.05"
"df","2070","344766.62","147.46","4.06"
"go","1946","330045.27","147.21","4.04"
"pe","1579","306878.14","177.59","4.02"
"es","1969","305413.82","139.20","4.01"
"ce","1273","265256.35","186.93","3.88"
"pa","933","207803.43","200.97","3.84"
"mt","879","179893.61","175.33","4.01"
"ma","712","146908.67","185.02","3.76"
"pb","512","135940.80","234.38","4.04"
"ms","699","134065.77","165.72","4.06"
"pi","471","104220.04","201.20","3.96"
"rn","471","100074.70","193.19","4.11"
"al","394","92609.56","218.42","3.82"
"se","334","69140.25","185.36","3.90"
"to","273","59919.70","193.91","4.16"
"ro","242","56916.95","209.25","4.07"
"am","144","27489.96","169.69","4.11"
"ac","80","19575.33","215.11","4.13"
"ap","66","16071.43","200.89","4.26"
"rr","41","9039.52","196.51","3.89"
