"r_score","f_score","m_score","rfm_segment","customers","avg_spend"
5,5,5,"555","3365","344.30"
5,5,4,"554","378","190.85"
5,5,3,"553","72","112.16"
5,5,2,"552","32","73.27"
5,5,1,"551","5","42.49"
5,4,5,"545","445","1248.55"
5,4,4,"544","3381","163.42"
5,4,3,"543","15","132.53"
5,3,3,"533","3667","108.11"
5,3,2,"532","87","86.85"
5,2,2,"522","3418","69.93"
5,2,1,"521","64","54.76"
5,1,4,"514","118","138.00"
5,1,1,"511","3624","39.17"
4,5,5,"455","3329","344.74"
4,5,4,"454","323","190.27"
4,5,3,"453","72","110.97"
4,5,2,"452","28","74.42"
4,5,1,"451","9","46.55"
4,4,5,"445","478","1190.27"
4,4,4,"444","3463","164.43"
4,4,3,"443","11","132.57"
4,3,3,"433","3728","108.05"
4,3,2,"432","103","86.99"
4,2,2,"422","3403","69.75"
4,2,1,"421","106","54.94"
4,1,4,"414","106","137.92"
4,1,1,"411","3512","39.23"
3,5,5,"355","3242","342.29"
3,5,4,"354","345","189.88"
3,5,3,"353","80","110.85"
3,5,2,"352","25","74.41"
3,5,1,"351","2","44.93"
3,4,5,"345","330","1109.45"
3,4,4,"344","3363","164.24"
3,4,3,"343","7","132.54"
3,3,3,"333","3635","108.16"
3,3,2,"332","83","86.89"
3,2,2,"322","3521","69.94"
3,2,1,"321","127","54.99"
3,1,4,"314","164","138.04"
3,1,1,"311","3748","38.99"
2,5,5,"255","3282","344.47"
2,5,4,"254","318","189.91"
2,5,3,"253","91","114.02"
2,5,2,"252","33","73.73"
2,5,1,"251","3","46.66"
2,4,5,"245","488","1182.33"
2,4,4,"244","3191","163.59"
2,4,3,"243","15","132.56"
2,3,3,"233","3573","108.29"
2,3,2,"232","75","86.83"
2,2,2,"222","3917","70.10"
2,2,1,"221","170","54.96"
2,1,4,"214","115","138.01"
2,1,1,"211","3401","39.29"
1,5,5,"155","3268","335.93"
1,5,4,"154","258","189.81"
1,5,3,"153","65","110.46"
1,5,2,"152","38","73.82"
1,5,1,"151","8","41.71"
1,4,5,"145","444","1219.37"
1,4,4,"144","3035","162.67"
1,4,3,"143","5","132.56"
1,3,3,"133","3636","109.14"
1,3,2,"132","85","86.86"
1,2,2,"122","3824","70.59"
1,2,1,"121","122","54.81"
1,1,4,"114","113","137.89"
1,1,1,"111","3771","39.24"
